ID,Name,LongLat
592,419 Glen Castle Road (north side),"44.23176, -76.57901"
594,Henderson Boulevard (west side of Glen Castle),"44.22827, -76.57957"
596,Chelsea Road (west side of Glen Castle),"44.22615, -76.5794"
9051,263 Chelsea Road (west side),"44.22465, -76.57513"
744,2485 Princess Street (south side),"44.2582, -76.56627"
2076,Centennial Drive (south side of Princess),"44.25807, -76.55771"
41,Futures Gate (south side of Princess),"44.25805, -76.55368"
44,Parkway (south side of Princess),"44.25131, -76.53342"
2053,Hillendale Avenue (south side of Princess),"44.24769, -76.526"
501,Kingston Centre Transfer Point Platform 2,"44.24215, -76.51677"
356,Albert Street (south side of Princess),"44.23652, -76.50081"
272,Barrie Street (south side of Princess),"44.2329, -76.49151"
292,Barrie Street (north side of Brock),"44.23207, -76.49143"
275,Alfred Street (north side of Princess),"44.23553, -76.49797"
357,Albert Street (north side of Princess),"44.23658, -76.50051"
402,Augusta Drive (north side of Princess),"44.25832, -76.55502"
584,Centennial Drive (north side of Princess),"44.25835, -76.55972"
9029,Bath Road (east side of Tanner),"44.2377, -76.55932"
9020,Dolshire Street (south side of Malabar),"44.24229, -76.55319"
517,Armstrong Road (south side of Kingsdale),"44.2419, -76.54357"
511,Queen Mary Road (south side of Bath),"44.23866, -76.53544"
9022,Fernmoor Drive (north side of Malabar),"44.24151, -76.55133"
9024,Tanner Drive (east side of Melrose),"44.24375, -76.55501"
9025,Farnham Crescent (west side of Tanner),"44.24102, -76.55967"
2001,Kirkpatrick Street (west side of Division),"44.25317, -76.49678"
2028,Guy Street (west side of Division),"44.2435, -76.49529"
283,York Street (west side of Division),"44.23791, -76.49422"
353,Alfred Street (north side of Brock),"44.23296, -76.49763"
9217,325 Palace Road (east side),"44.23353, -76.5137"
9218,Gardiners Centre (north side of Bath),"44.23728, -76.56654"
617,Arlington Park Place (east side of Gardiners),"44.24792, -76.56795"
9209,Gardiners Centre (south side of Bath),"44.237, -76.56652"
733,Tanner Drive (south side of Bath),"44.23686, -76.5595"
9210,Kingston Centre (south side of Bath),"44.2405, -76.51644"
9212,Barrie Street (south side of Johnson),"44.23097, -76.49133"
