ID,Code,Name,Coordinates,Description,Zone ID,URL,Location Type,Parent Station ID,Timezone,Wheelchair Boarding
671,,Sexton Lane (south side of Taylor-Kidd),"44.25097, -76.59255",,,,,,,0
539,,Crystal Springs (north side of Front),"44.2183, -76.57232",,,,,,,0
809,,172 Glen Castle Road (east side),"44.2207, -76.57741",,,,,,,0
810,,Camberley Crescent (east side of Glen Castle),"44.22245, -76.57758",,,,,,,0
542,,234 Glen Castle Road (east side),"44.22346, -76.5783",,,,,,,0
687,,290 Glen Castle Road (east side),"44.22591, -76.57922",,,,,,,0
564,,Vista Drive (north side of Roosevelt),"44.23441, -76.58371",,,,,,,0
580,,Acadia Drive (east side of Walden),"44.23697, -76.59747",,,,,,,0
581,,Coverdale Drive (east side of Walden),"44.23788, -76.59776",,,,,,,0
560,,Frontenac Secondary School (south side of Bath),"44.23759, -76.57724",,,,,,,0
609,,Justus Drive (north side of Development),"44.24171, -76.5726",,,,,,,0
737,,Hudson Park (north side of Hudson),"44.24373, -76.58556",,,,,,,0
3,,Bayridge Park (east side of Hudson),"44.24722, -76.59402",,,,,,,0
1,,1116 Hudson Drive (north side),"44.24859, -76.59968",,,,,,,0
681,,Mona Drive (north side of Hudson),"44.24849, -76.60266",,,,,,,0
15,,Edwin Street (west side of Waverley),"44.24653, -76.61123",,,,,,,0
16,,1346 Waverley Crescent (north side),"44.24561, -76.61348",,,,,,,0
13,,Collins Bay Road (south side of Aylmer),"44.24953, -76.61085",,,,,,,0
12,,Woodside Drive (east side of Mona),"44.25275, -76.60212",,,,,,,0
624,,1036 Mona Drive (south side),"44.25607, -76.60423",,,,,,,0
622,,Katharine Crescent (south side of Woodbine),"44.25812, -76.60031",,,,,,,0
621,,Holy Cross Secondary (south side of Woodbine),"44.25835, -76.59703",,,,,,,0
640,,Purcell Crescent (south side of Old Colony),"44.2549, -76.58194",,,,,,,0
78,,Cataraqui Woods Drive (east side of Midland),"44.26865, -76.5741",,,,,,,0
646,,Sierra Avenue (north side of Tivoli),"44.27282, -76.57649",,,,,,,0
694,,Cataraqui Woods Drive (west side of Cedarwood),"44.26656, -76.57826",,,,,,,0
653,,Redwood Crescent (north side of Cedarwood),"44.26219, -76.57811",,,,,,,0
659,,Basswood Place (north side of Cedarwood),"44.26252, -76.58306",,,,,,,0
656,,Princess Street (east side of Bayridge),"44.26026, -76.58338",,,,,,,0
654,,Sprucewood Crescent (south side of Cedarwood),"44.26186, -76.58024",,,,,,,0
652,,Redwood Crescent (east side of Cedarwood),"44.26221, -76.57788",,,,,,,0
643,,Hickorywood Crescent (east side of Cedarwood),"44.26493, -76.57731",,,,,,,0
647,,1245 Midland Avenue (west side),"44.26877, -76.57427",,,,,,,0
854,,Cataraqui Woods Drive (west side of Midland),"44.26659, -76.57426",,,,,,,0
651,,Loblaws (west side of Midland),"44.26038, -76.57417",,,,,,,0
666,,Lancaster Drive (east side of Limestone),"44.25674, -76.59495",,,,,,,0
18,,1385 Waverley Crescent (south side),"44.24398, -76.61657",,,,,,,0
470,,Edwin Street (east side of Waverley),"44.24663, -76.6111",,,,,,,0
468,,High Gate Park Dr. (south side of Prince Charles),"44.24727, -76.60481",,,,,,,0
680,,Mona Drive (south side of Hudson),"44.24838, -76.6029",,,,,,,0
91,,Downing Street (south side of Hudson),"44.24863, -76.59703",,,,,,,0
689,,1055 Hudson Drive (west side),"44.24717, -76.59415",,,,,,,0
5,,Holgate Crescent (south side of Hudson),"44.24493, -76.5926",,,,,,,0
629,,Hudson Park (south side of Hudson),"44.24363, -76.58563",,,,,,,0
611,,Gardiners Road (south side of Development),"44.24173, -76.56815",,,,,,,0
35,,McEwen Drive (north side of Bath),"44.23767, -76.57433",,,,,,,0
804,,Frontenac Secondary School (north side of Bath),"44.23783, -76.57728",,,,,,,0
31,,Stoneridge Drive (north side of Coverdale),"44.23743, -76.59217",,,,,,,0
590,,425 Knightsbridge Road (west side),"44.23319, -76.57881",,,,,,,0
545,,Glen Castle Road (west side of Chelsea),"44.21972, -76.57417",,,,,,,0
397,,Taylor-Kidd Boulevard (south side of Princess),"44.25652, -76.54166",,,,,,,0
378,,Portsmouth Avenue (south side of Princess),"44.24995, -76.53069",,,,,,,0
382,,Heathfield (south side of Princess),"44.24585, -76.52208",,,,,,,0
363,,800 Princess Street (south side),"44.23954, -76.50803",,,,,,,0
9070,,Alfred Street (south side of Princess),"44.23524, -76.49773",,,,,,,0
294,,Clergy Street (north side of Brock),"44.23175, -76.48945",,,,,,,0
360,,Legion Villa (north side of Princess),"44.23826, -76.50447",,,,,,,0
366,,Westdale Avenue (north side of Bath),"44.24099, -76.51358",,,,,,,0
383,,Sir John A Macdonald Blvd (north side of Princess),"44.24531, -76.52038",,,,,,,0
381,,1225 Princess Street (north side),"44.24697, -76.52383",,,,,,,0
380,,McMichael Street (north side of Princess),"44.24797, -76.52602",,,,,,,0
398,,John Counter Boulevard (north side of Princess),"44.2574, -76.54225",,,,,,,0
103,,RioCan Centre (west side of driveway),"44.24499, -76.56555",,,,,,,0
527,,1600 Bath Road (south side),"44.23691, -76.56364",,,,,,,0
9018,,Arbour Crescent (east side of Tanner),"44.24111, -76.5595",,,,,,,0
9019,,668 Tanner Drive (south side),"44.24308, -76.55621",,,,,,,0
9021,,Teal Court (south side of Malabar),"44.2414, -76.55138",,,,,,,0
518,,Owens Crescent (south side of Kingsdale),"44.24154, -76.54758",,,,,,,0
732,,284 Kingsdale Avenue (south side),"44.24162, -76.54514",,,,,,,0
513,,Bath Road (west side of Armstrong),"44.23894, -76.54228",,,,,,,0
